FileName,difficulty,diff,JPName,ENName,Vintage,SongName,Artist,Difficulty,Length,easy,med,hard,very hard,Genres,Tags
BanG Dream! 2nd Season - BRAVE JEWEL by Roselia,hard,hard,BanG Dream! 2nd Season,BanG Dream! 2nd Season,Winter 2019,BRAVE JEWEL,Roselia,41,"89,952",,,,,Comedy; Drama; Music; Slice of Life,Band; Female Protagonist; Full CGI; Primarily Female Cast; Cute Girls Doing Cute Things; Primarily Teen Cast; Rock Music
BanG Dream! Episode of Roselia - Sing Alive by Roselia,hard,hard,BanG Dream! Episode of Roselia,BanG Dream! Episode of Roselia,Spring 2021,Sing Alive,Roselia,41,"95,256",,,,,Music,Primarily Female Cast; Primarily Teen Cast; Rock Music; Full CGI; Female Protagonist; Band; Urban; Video Games; Gyaru
Big Order - DISORDER by Yousei Teikoku,hard,hard,Big Order,Big Order,Spring 2016,DISORDER,Yousei Teikoku,41,"89,016",,,,,Action; Supernatural,Super Power; Shounen; Male Protagonist; Time Manipulation
Black Clover - Grandeur by Snow Man,hard,hard,Black Clover,Black Clover,Fall 2017,Grandeur,Snow Man,41,"87,312",,,,,Action; Adventure; Comedy; Fantasy,Magic; Shounen; Found Family; Male Protagonist; Super Power; Orphan; Ensemble Cast; Class Struggle; Revenge; Elf; Demons; Dissociative Identities
Black Clover - Rakugaki Page by Kankaku Piero,hard,hard,Black Clover,Black Clover,Fall 2017,Rakugaki Page,Kankaku Piero,41,"88,248",,,,,Action; Adventure; Comedy; Fantasy,Magic; Shounen; Found Family; Male Protagonist; Super Power; Orphan; Ensemble Cast; Class Struggle; Revenge; Elf; Demons; Dissociative Identities
Bleach - HARUKAZE by SCANDAL,hard,hard,Bleach,Bleach,Fall 2004,HARUKAZE,SCANDAL,41,"88,896",,,,,Action; Adventure; Supernatural,Swordplay; Super Power; Shounen; Afterlife; Ghost; Male Protagonist; Demons; Exorcism; Urban Fantasy
Boku-tachi no Remake - Koko kara Saki wa Uta ni Naranai by Poppin'Party,hard,hard,Boku-tachi no Remake,Remake Our Life!,Summer 2021,Koko kara Saki wa Uta ni Naranai,Poppin'Party,41,"88,824",,,,,Drama; Romance; Slice of Life,College; Age Regression; Coming of Age; Time Skip; Time Manipulation
Boukyaku Battery - Lilac by Mrs. GREEN APPLE,hard,hard,Boukyaku Battery,Oblivion Battery,Spring 2024,Lilac,Mrs. GREEN APPLE,41,"89,478",,,,,Comedy; Sports,Baseball
Bubble - Bubble feat. Uta by Eve feat. Riria.,hard,hard,Bubble,Bubble,Spring 2022,Bubble feat. Uta,Eve feat. Riria.,41,"90,912",,,,,Romance; Sci-Fi; Sports; Supernatural,Parkour; Male Protagonist; Post-Apocalyptic; Urban Fantasy; Tragedy; Female Protagonist
Chi's Sweet Home - Ouchi ga Ichiban by Satomi Koorogi,hard,hard,Chi's Sweet Home,Chi's Sweet Home,Winter 2008,Ouchi ga Ichiban,Satomi Koorogi,41,30,,,,,Comedy; Slice of Life,Iyashikei; Animals; Family Life; Female Protagonist
City Hunter - Go Go Heaven by Yoshiyuki Ohsawa,hard,hard,City Hunter,City Hunter,Spring 1987,Go Go Heaven,Yoshiyuki Ohsawa,41,"88,392",,,,,Action; Comedy; Mystery,Episodic; Crime; Guns; Primarily Adult Cast; Slapstick; Urban; Male Protagonist; Detective; Assassins
Dance Dance Danseur - Narihibiku Kagiri by YUKI,hard,hard,Dance Dance Danseur,Dance Dance Danseur,Spring 2022,Narihibiku Kagiri,YUKI,41,"88,2",,,,,Drama; Romance; Slice of Life; Sports,Dancing; Male Protagonist
Digimon Frontier - FIRE!! by Kouji Wada,hard,hard,Digimon Frontier,Digimon Frontier,Spring 2002,FIRE!!,Kouji Wada,41,"88,464",,,,,Action; Adventure; Drama; Fantasy; Sci-Fi,Kids; Virtual World; Twins; Primarily Child Cast; Male Protagonist; Kaiju; Henshin
Dirty Pair - Ru-Ru-Ru-Russian Roulette by Meiko Nakahara,hard,hard,Dirty Pair,Dirty Pair,Summer 1985,Ru-Ru-Ru-Russian Roulette,Meiko Nakahara,41,"86,736",,,,,Action; Adventure; Comedy; Ecchi; Sci-Fi,Space; Episodic; Female Protagonist; Police; Tomboy; Work
Dr. Stone New World - Haruka by Ryujin Kiyoshi,hard,hard,Dr. Stone: New World,Dr. Stone: New World,Fall 2023,Haruka,Ryujin Kiyoshi,41,"87,624",,,,,Action; Adventure; Comedy; Sci-Fi,Post-Apocalyptic; Survival; Educational; Male Protagonist; Shounen; Lost Civilization; Primarily Male Cast; Ships
Dr. Stone New World - Wasuregataki by Huwie Ishizaki,hard,hard,Dr. Stone: New World,Dr. Stone: New World,Spring 2023,Wasuregataki,Huwie Ishizaki,41,"88,968",,,,,Action; Adventure; Comedy; Sci-Fi,Post-Apocalyptic; Survival; Educational; Male Protagonist; Shounen; Lost Civilization; Primarily Male Cast; Ships
Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka IV - Shikou by Saori Hayami,hard,hard,Dungeon ni Deai o Motomeru no wa Machigatteiru Darou ka IV,Is It Wrong to Try to Pick Up Girls in a Dungeon? IV,Winter 2023,Shikou,Saori Hayami,41,"88,872",,,,,Action; Adventure; Comedy; Fantasy; Romance,Dungeon; Male Protagonist; Gods; Mythology; Travel; Magic; Swordplay
Elf-san wa Yaserarenai. - Fried☆Pride by REAL AKIBA BOYZ loves Kasumi Taguchi  AiRyA from REAL AKIBA BAND,hard,hard,Elf-san wa Yaserarenai.,Plus-Sized Elf,Summer 2024,Fried☆Pride,REAL AKIBA BOYZ loves Kasumi Taguchi & AiRyA from REAL AKIBA BAND,41,"58,225",,,,,Comedy; Ecchi; Fantasy; Slice of Life,Monster Girl; Elf; Urban Fantasy; Male Protagonist; Work; Food; Large Breasts; Fitness; Skeleton; Primarily Female Cast
Fairy Tail - Ashita o Narase by SHISHIDO KAVKA,hard,hard,Fairy Tail,Fairy Tail,Spring 2014,Ashita o Narase,SHISHIDO KAVKA,41,"88,584",,,,,Action; Adventure; Comedy; Fantasy,Magic; Shounen; Fairy Tale; Found Family; Ensemble Cast; Male Protagonist; Anthropomorphism; Large Breasts; Dragons
Fairy Tail - R.P.G. ~Rockin' Playing Game by SuG,hard,hard,Fairy Tail,Fairy Tail,Fall 2009,R.P.G. ~Rockin' Playing Game,SuG,41,"89,424",,,,,Action; Adventure; Comedy; Fantasy,Magic; Shounen; Fairy Tale; Found Family; Ensemble Cast; Male Protagonist; Anthropomorphism; Large Breasts; Dragons
Fatekaleid liner Prisma☆Illya 2wei Herz! - Wonder Stella by fhána,hard,hard,Fate/kaleid liner Prisma☆Illya 2wei Herz!,Fate/kaleid liner Prisma☆Illya 2wei Herz!,Summer 2015,Wonder Stella,fhána,41,"90,024",,,,,Action; Comedy; Ecchi; Fantasy; Mahou Shoujo,Magic; Cute Girls Doing Cute Things; Female Protagonist; Primarily Female Cast; Gods; Nun; Archery; Swordplay; Maids; Butler; Urban Fantasy; Urban
Fatestay night Heaven's Feel II. Lost Butterfly - you have to choose your future by Yuri Kasahara,hard,hard,Fate/stay night: Heaven's Feel II. Lost Butterfly,Fate/stay night: Heaven's Feel II. Lost Butterfly,Winter 2019,you have to choose your future,Yuri Kasahara,41,"97,056",,,,,Action; Fantasy; Psychological; Romance; Supernatural; Thriller,Magic; Tragedy; Urban Fantasy; Battle Royale; Gore
Fatestay night Heaven's Feel III. Spring Song - in early spring by Shaylee,hard,hard,Fate/stay night: Heaven's Feel III. Spring Song,Fate/stay night: Heaven's Feel III. Spring Song,Summer 2020,in early spring,Shaylee,41,"111,048",,,,,Action; Drama; Fantasy; Psychological; Supernatural; Thriller,Urban Fantasy; Magic; Anti-Hero; Tragedy; Battle Royale; Philosophy; Mythology; Super Power; Religion; Gore
Gimai Seikatsu - Tenshi-tachi no Uta by fhána,hard,hard,Gimai Seikatsu,Days with My Stepsister,Summer 2024,Tenshi-tachi no Uta,fhána,41,"88,435",,,,,Romance; Slice of Life,Family Life; Inseki; Heterosexual; Male Protagonist; Philosophy; Female Protagonist; Kuudere
Gochuumon wa Usagi desu ka - No Poi! by Petit Rabbit's,hard,hard,Gochuumon wa Usagi desu ka??,Is the Order a Rabbit?? Season 2,Fall 2015,No Poi!,Petit Rabbit's,41,"89,784",,,,,Slice of Life,Cute Girls Doing Cute Things; Female Protagonist; Work; Primarily Female Cast
