FileName,difficulty,diff,JPName,ENName,Vintage,SongName,Artist,Difficulty,Length,easy,med,hard,very hard,Genres,Tags
Otaku ni Koi wa Muzukashii - Fiction by sumika,easy,easy,One Punch Man,One Punch Man,Fall 2015,THE HERO !! ~Ikareru Kobushi ni Hi o Tsukero~,JAM Project,91,"89,808",267,884,1260,527,Action; Comedy; Sci-Fi; Supernatural,Superhero; Super Power; Parody; Male Protagonist; Satire; Urban Fantasy; Surreal Comedy
Shinseiki Evangelion - Zankoku na Tenshi no Thesis by Yoko Takahashi,easy,easy,Shinseiki Evangelion,Neon Genesis Evangelion,Fall 1995,Zankoku na Tenshi no Thesis,Yoko Takahashi,91,"89,904",,,,,Action; Drama; Mecha; Mystery; Psychological; Sci-Fi,Philosophy; Coming of Age; Tragedy; Super Robot; Denpa; Cosmic Horror; Dystopian; Post-Apocalyptic; Angels; Psychosexual; Suicide; Primarily Teen Cast; Kaiju; Conspiracy; Male Protagonist; Aliens; Body Horror
Steins;Gate - Hacking to the Gate by Kanako Itou,easy,easy,Steins;Gate,Steins;Gate,Spring 2011,Hacking to the Gate,Kanako Itou,90,"89,424",,,,,Drama; Psychological; Sci-Fi; Thriller,Time Manipulation; Alternate Universe; Time Loop; Conspiracy; Tragedy; Memory Manipulation; Male Protagonist; Urban; Dystopian; Primarily Adult Cast
Tokyo Ghoul - unravel by TK from Ling Tosite Sigure,easy,easy,Tokyo Ghoul,Tokyo Ghoul,Summer 2014,unravel,TK from Ling Tosite Sigure,90,"86,883",,,,,Action; Drama; Horror; Mystery; Psychological; Supernatural,Gore; Urban Fantasy; Tragedy; Survival; Torture; Body Horror; Male Protagonist; Anti-Hero
Gegege no Kitarou - Gegege no Kitarou by Kazuo Kumakura,hard,easy,Gegege no Kitarou,Gegege no Kitarou,Winter 1968,Gegege no Kitarou,Kazuo Kumakura,89,"91,2",,,,,Adventure; Supernatural,Youkai; Full CGI
Kakegurui - Deal with the devil by Tia,easy,easy,Kakegurui,Kakegurui,Summer 2017,Deal with the devil,Tia,89,"95,04",,,,,Drama; Mystery; Psychological,Gambling; Female Protagonist; School; Primarily Female Cast; Body Horror; Masochism
Boku dake ga Inai Machi - ReRe by ASIAN KUNG-FU GENERATION,easy,easy,Boku dake ga Inai Machi,ERASED,Winter 2016,Re:Re:,ASIAN KUNG-FU GENERATION,88,"88,968",,,,,Drama; Mystery; Psychological; Supernatural; Thriller,Age Regression; Time Manipulation; Crime; Tragedy; Time Skip; Primarily Child Cast; Detective; Alternate Universe; Male Protagonist; Urban Fantasy; Snowscape
Death Parade - Flyers by BRADIO,easy,easy,Death Parade,Death Parade,Winter 2015,Flyers,BRADIO,88,"78,96",,,,,Drama; Mystery; Psychological; Supernatural; Thriller,Death Game; Afterlife; Philosophy; Tragedy; Amnesia; Memory Manipulation; Reincarnation; Bar; Primarily Adult Cast
Kimetsu no Yaiba - Gurenge by LiSA,easy,easy,Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba,Spring 2019,Gurenge,LiSA,88,"89,544",,,,,Action; Adventure; Drama; Fantasy; Supernatural,Demons; Shounen; Swordplay; Male Protagonist; Vampire; Tragedy
"Death Note - What's up, people! by Maximum the Hormone",easy,easy,Death Note,Death Note,Fall 2006,"What's up, people?!",Maximum the Hormone,87,"79,032",,,,,Mystery; Psychological; Supernatural; Thriller,Crime; Detective; Anti-Hero; Male Protagonist; Fugitive; Police; Philosophy; Primarily Adult Cast; Kuudere; Gods; Memory Manipulation
Kobayashi-san Chi no Maid Dragon - Aozora no Rhapsody by fhána,easy,easy,Kobayashi-san Chi no Maid Dragon,Miss Kobayashi's Dragon Maid,Winter 2017,Aozora no Rhapsody,fhána,87,"89,424",,,,,Comedy; Fantasy; Slice of Life,Found Family; Dragons; Monster Girl; Family Life; Cute Girls Doing Cute Things; Female Protagonist; Primarily Female Cast; Maids; Magic; Episodic; Anthropomorphism; Urban; Yuri
Koe no Katachi - MY GENERATION by THE WHO,easy,easy,Koe no Katachi,A Silent Voice,Summer 2016,MY GENERATION,THE WHO,87,"113,184",,,,,Drama; Romance; Slice of Life,Disability; Bullying; Rehabilitation; Language Barrier; Coming of Age; Suicide; Tragedy; Male Protagonist
Mob Psycho 100 - 99 by MOB CHOIR,easy,easy,Mob Psycho 100,Mob Psycho 100,Summer 2016,99,MOB CHOIR,87,"89,04",,,,,Action; Comedy; Drama; Psychological; Slice of Life; Supernatural,Super Power; Coming of Age; Urban Fantasy; Philosophy; Ghost; Primarily Teen Cast
Mob Psycho 100 Reigen Shirarezaru Kiseki Reinouryokusha - 99 by MOB CHOIR,easy,easy,Mob Psycho 100 Reigen: Shirarezaru Kiseki Reinouryokusha,Mob Psycho 100 Reigen The Miraculous Unknown Psychic,Winter 2018,99,MOB CHOIR,87,"89,04",,,,,Action; Comedy; Supernatural,Urban Fantasy; Super Power; Male Protagonist; Satire; Writing; Urban
Pocket Monsters - Pokémon Theme by Jason Paige,easy,easy,Pocket Monsters,Pokémon,Spring 1997,Pokémon Theme,Jason Paige,87,"60,672",,,,,Action; Adventure; Comedy; Fantasy,Travel; Animals; Creature Taming; Primarily Child Cast; Kids; Episodic; Proxy Battle; Male Protagonist
Shingeki no Kyojin - Guren no Yumiya by Linked Horizon,easy,easy,Shingeki no Kyojin,Attack on Titan,Spring 2013,Guren no Yumiya,Linked Horizon,87,"90,456",,,,,Action; Drama; Fantasy; Mystery,Revenge; Kaiju; Male Protagonist; Tragedy; Military; Post-Apocalyptic; Primarily Teen Cast; Super Power; Henshin; Steampunk; Swordplay
Sword Art Online - crossing field by LiSA,easy,easy,Sword Art Online,Sword Art Online,Summer 2012,crossing field,LiSA,87,"88,272",,,,,Action; Adventure; Fantasy; Romance,Virtual World; Isekai; Death Game; Video Games; Swordplay; Male Protagonist; Primarily Teen Cast; Heterosexual; Primarily Female Cast
Yuri!!! on Ice - History Maker by DEAN FUJIOKA,easy,easy,Yuri!!! on Ice,Yuri!!! on Ice,Fall 2016,History Maker,DEAN FUJIOKA,87,"89,04",,,,,Comedy; Drama; Sports,Ice Skating; Primarily Male Cast; Male Protagonist; LGBTQ+ Themes; Foreign
Bakemonogatari - Renai Circulation by Kana Hanazawa,easy,easy,Bakemonogatari,Bakemonogatari,Summer 2009,Renai Circulation,Kana Hanazawa,86,"88,536",,,,,Comedy; Drama; Mystery; Psychological; Romance; Supernatural,Youkai; Ensemble Cast; Urban Fantasy; Kuudere; Male Protagonist; Surreal Comedy; Philosophy; Coming of Age; Ghost; Vampire; Primarily Female Cast
Boku no Hero Academia - Peace Sign by Kenshi Yonezu,easy,easy,Boku no Hero Academia,My Hero Academia,Spring 2017,Peace Sign,Kenshi Yonezu,86,"89,016",,,,,Action; Adventure; Comedy,Super Power; Superhero; Shounen; Primarily Teen Cast; Male Protagonist; School; Urban Fantasy
Lupin Sansei - Lupin Sansei Sono 1 by Charlie Kosei,easy,easy,Lupin Sansei,Lupin III,Fall 1971,Lupin Sansei Sono 1,Charlie Kosei,86,"72,48",,,,,Adventure; Comedy,
No Game No Life - This game by Konomi Suzuki,easy,easy,No Game No Life,No Game No Life,Spring 2014,This game,Konomi Suzuki,86,"88,536",,,,,Adventure; Comedy; Ecchi; Fantasy,Isekai; Gambling; Alternate Universe; Video Games; Hikikomori
ReZero kara Hajimeru Isekai Seikatsu - Paradisus-Paradoxum by MYTH  ROID,easy,easy,Re:Zero kara Hajimeru Isekai Seikatsu,Re:Zero: Starting Life in Another World,Spring 2016,Paradisus-Paradoxum,MYTH & ROID,86,"89,376",,,,,Action; Adventure; Drama; Fantasy; Psychological; Romance; Thriller,Time Manipulation; Isekai; Time Loop; Tragedy; Alternate Universe; Male Protagonist; Witch; Magic
Shigatsu wa Kimi no Uso Moments - Hikaru Nara by Goose house,easy,easy,Shigatsu wa Kimi no Uso: Moments,Your Lie in April: Moments,Spring 2015,Hikaru Nara,Goose house,86,"88,968",,,,,Music; Slice of Life,Primarily Child Cast; Musical Theater; Classical Music
Boku no Hero Academia - THE DAY by Porno Graffitti,easy,easy,Boku no Hero Academia,My Hero Academia,Spring 2016,THE DAY,Porno Graffitti,85,"89,544",,,,,Action; Adventure; Comedy,Super Power; Superhero; Shounen; Primarily Teen Cast; Male Protagonist; School; Urban Fantasy
Cowboy Bebop - Tank! by Seatbelts,easy,easy,Cowboy Bebop,Cowboy Bebop,Spring 1998,Tank!,Seatbelts,85,"89,568",,,,,Action; Adventure; Drama; Sci-Fi,Space; Crime; Episodic; Ensemble Cast; Primarily Adult Cast; Tragedy; Travel; Noir; Philosophy; Anti-Hero; Guns; Cyberpunk; Male Protagonist; Found Family
Death Note - the WORLD by Nightmare,easy,easy,Death Note,Death Note,Fall 2006,the WORLD,Nightmare,85,"79,032",,,,,Mystery; Psychological; Supernatural; Thriller,Crime; Detective; Anti-Hero; Male Protagonist; Fugitive; Police; Philosophy; Primarily Adult Cast; Kuudere; Gods; Memory Manipulation
Dumbbell Nan-Kilo Moteru - Onegai Muscle by Fairouz Ai  Kaito Ishikawa,easy,easy,Dumbbell Nan-Kilo Moteru?,How Heavy Are the Dumbbells You Lift?,Summer 2019,Onegai Muscle,Fairouz Ai & Kaito Ishikawa,85,"89,544",,,,,Comedy; Ecchi; Slice of Life; Sports,Fitness; Educational; Athletics; Female Protagonist; Urban; Primarily Female Cast; Episodic; Tomboy
Hunter x Hunter - departure! by Masatoshi Ono,easy,easy,Hunter x Hunter,Hunter x Hunter,Fall 2011,departure!,Masatoshi Ono,85,"78,144",,,,,Action; Adventure; Fantasy,Shounen; Ensemble Cast; Super Power; Cultivation; Male Protagonist
Kaguya-sama wa Kokurasetai Tensai-tachi no Renai Zunousen - Love Dramatic by Masayuki Suzuki feat. Rikka Ihara,easy,easy,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Kaguya-sama: Love is War,Winter 2019,Love Dramatic,Masayuki Suzuki feat. Rikka Ihara,85,"91,248",,,,,Comedy; Psychological; Romance; Slice of Life,School Club; School; Ensemble Cast; Tsundere; Female Protagonist; Male Protagonist; Episodic; Primarily Teen Cast; Ojou-sama; Coming of Age; Heterosexual
Mirai Nikki - Kuusou Mesorogiwi by Yousei Teikoku,easy,easy,Mirai Nikki,The Future Diary,Fall 2011,Kuusou Mesorogiwi,Yousei Teikoku,85,"89,051",,,,,Action; Horror; Mystery; Psychological; Supernatural; Thriller,Battle Royale; Death Game; Survival; Yandere; Tragedy; Alternate Universe; Meta; Suicide; Gore; Gods
No Game No Life - Onegai☆Snyaiper by Miyuki Sawashiro,medium,easy,No Game No Life,No Game No Life,Spring 2014,Onegai☆Snyaiper,Miyuki Sawashiro,85,"88,656",,,,,Adventure; Comedy; Ecchi; Fantasy,Isekai; Gambling; Alternate Universe; Video Games; Hikikomori
Oshi no Ko - Idol by YOASOBI,easy,easy,Oshi no Ko,[Oshi no Ko],Spring 2023,Idol,YOASOBI,85,"90,02",,,,,Drama; Mystery; Psychological; Supernatural,Acting; Tragedy; Idol; Revenge; Twins; Male Protagonist; Urban; Reincarnation; Detective
One Punch Man - Seijaku no Apostle by JAM Project,easy,easy,One Punch Man,One Punch Man,Spring 2019,Seijaku no Apostle,JAM Project,84,"88,56",,,,,Action; Comedy; Sci-Fi; Supernatural,Superhero; Super Power; Parody; Male Protagonist; Satire; Urban Fantasy; Surreal Comedy
Prison School - Ai no Prison by Kangoku Danshi,easy,easy,Prison School,Prison School,Summer 2015,Ai no Prison,Kangoku Danshi,84,"88,536",,,,,Comedy; Ecchi,School; Surreal Comedy; Prison; Nudity; Parody; Male Protagonist; Large Breasts; Slapstick; Heterosexual; Seinen; Torture; Ensemble Cast
Shigatsu wa Kimi no Uso - Hikaru Nara by Goose house,easy,easy,Shigatsu wa Kimi no Uso,Your Lie in April,Fall 2014,Hikaru Nara,Goose house,84,"90,024",,,,,Drama; Music; Romance; Slice of Life,Tragedy; Primarily Teen Cast; Disability; Classical Music; Coming of Age; Rehabilitation; Male Protagonist; Female Protagonist
Chainsaw Man - KICK BACK by Kenshi Yonezu,easy,easy,Chainsaw Man,Chainsaw Man,Fall 2022,KICK BACK,Kenshi Yonezu,83,"86,424",,,,,Action; Drama; Horror; Supernatural,Demons; Monster Boy; Urban Fantasy; Male Protagonist; Gore; Tragedy; Body Horror; Anti-Hero; Shapeshifting; Urban; Coming of Age; Henshin; Shounen
"Doraemon - Boku Doraemon by Nobuyo Ooyama, Koorogi '73",medium,easy,Doraemon,Doraemon,Spring 1979,Boku Doraemon,"Nobuyo Ooyama, Koorogi '73",83,"43,912",,,,,Adventure; Comedy; Fantasy,Kids; Shounen
Enen no Shouboutai - Inferno by Mrs. GREEN APPLE,easy,easy,Enen no Shouboutai,Fire Force,Summer 2019,Inferno,Mrs. GREEN APPLE,83,"89,544",,,,,Action; Drama; Sci-Fi; Supernatural,Firefighters; Super Power; Urban Fantasy; Shounen; Conspiracy; Demons; Cult; Religion; Male Protagonist; Nudity; Urban; Post-Apocalyptic
Grand Blue - Grand Blue by Shonan no Kaze,easy,easy,Grand Blue,Grand Blue,Summer 2018,Grand Blue,Shonan no Kaze,83,"89,928",,,,,Comedy; Slice of Life; Sports,School Club; Slapstick; Coastal; Primarily Adult Cast; College; Seinen; Nudity; Male Protagonist
JoJo no Kimyou na Bouken - JoJo ~Sono Chi no Sadame~ by Hiroaki TOMMY Tominaga,easy,easy,JoJo no Kimyou na Bouken,JoJo's Bizarre Adventure,Fall 2012,JoJo ~Sono Chi no Sadame~,Hiroaki TOMMY Tominaga,83,"87,168",,,,,Action; Adventure; Drama; Horror; Supernatural,Shounen; Vampire; Super Power; Body Horror; Primarily Male Cast; Male Protagonist; Desert
Kimi no Na wa. - Yume Tourou by RADWIMPS,easy,easy,Kimi no Na wa.,Your Name.,Summer 2016,Yume Tourou,RADWIMPS,83,"107,18",,,,,Drama; Romance; Supernatural,Body Swapping; Time Manipulation; Urban Fantasy; Coming of Age; Female Protagonist; Male Protagonist; Memory Manipulation
"Kiseijuu Sei no Kakuritsu - Let Me Hear by Fear, and Loathing in Las Vegas",easy,easy,Kiseijuu: Sei no Kakuritsu,Parasyte: The Maxim,Fall 2014,Let Me Hear,"Fear, and Loathing in Las Vegas",83,"89,472",,,,,Action; Drama; Horror; Psychological; Sci-Fi,Body Horror; Shapeshifting; Survival; Aliens; Male Protagonist; Philosophy; Seinen; Gore; Anti-Hero; Revenge
Noragami - Goya no Machiawase by Hello Sleepwalkers,easy,easy,Noragami,Noragami,Winter 2014,Goya no Machiawase,Hello Sleepwalkers,83,"89,544",,,,,Action; Adventure; Comedy; Supernatural,Gods; Youkai; Female Protagonist; Urban Fantasy; Shounen; Mythology; Anti-Hero
Paripi Koumei - Chiki Chiki Bang Bang by QUEENDOM,easy,easy,Paripi Koumei,Ya Boy Kongming!,Spring 2022,Chiki Chiki Bang Bang,QUEENDOM,83,"89,328",,,,,Comedy; Drama; Music; Supernatural,Reincarnation; Urban; Band
Teekyuu - Botsuraku Kizoku no Tame no Teekyuu by Yui Watanabe,medium,easy,Teekyuu,Teekyuu,Fall 2012,Botsuraku Kizoku no Tame no Teekyuu,Yui Watanabe,83,"29,856",,,,,Comedy; Slice of Life; Sports,Surreal Comedy; Episodic; Meta; School Club; Parody
Yakusoku no Neverland - Touch off by UVERworld,easy,easy,Yakusoku no Neverland,The Promised Neverland,Winter 2019,Touch off,UVERworld,83,"89,544",,,,,Drama; Fantasy; Horror; Mystery; Psychological; Thriller,Dystopian; Survival; Primarily Child Cast; Orphan; Tragedy; Found Family; Demons
"Angel Beats! - My Soul,Your Beats! by Lia",easy,easy,Angel Beats!,Angel Beats!,Spring 2010,"My Soul,Your Beats!",Lia,82,"89,376",,,,,Action; Comedy; Drama; Supernatural,Afterlife; Tragedy; School; Amnesia; Primarily Teen Cast; Kuudere; Coming of Age; Memory Manipulation; Boarding School; Male Protagonist; Ensemble Cast; Slapstick
"Angel Beats! - My Soul,Your Beats! by LiSA",easy,easy,Angel Beats!,Angel Beats!,Spring 2010,"My Soul,Your Beats!",LiSA,82,"91,752",,,,,Action; Comedy; Drama; Supernatural,Afterlife; Tragedy; School; Amnesia; Primarily Teen Cast; Kuudere; Coming of Age; Memory Manipulation; Boarding School; Male Protagonist; Ensemble Cast; Slapstick
Ansatsu Kyoushitsu - Seishun Satsubatsuron by 3-nen E-gumi Shuugakuryokou 4-han,easy,easy,Ansatsu Kyoushitsu,Assassination Classroom,Winter 2015,Seishun Satsubatsuron,3-nen E-gumi Utatan,82,"87,824",,,,,Action; Comedy; Drama; Supernatural,Assassins; School; Teacher; Primarily Teen Cast; Shounen; Ensemble Cast
Boku no Hero Academia - Sora ni Utaeba by amazarashi,easy,easy,Boku no Hero Academia,My Hero Academia,Spring 2017,Sora ni Utaeba,amazarashi,82,"87,977",,,,,Action; Adventure; Comedy,Super Power; Superhero; Shounen; Primarily Teen Cast; Male Protagonist; School; Urban Fantasy
Hagane no Renkinjutsushi Brotherhood - again by YUI,easy,easy,Hagane no Renkinjutsushi: Brotherhood,Fullmetal Alchemist: Brotherhood,Spring 2009,again,YUI,82,"89,784",,,,,,
Noragami Aragoto - Kyouran Hey Kids!! by THE ORAL CIGARETTES,easy,easy,Noragami Aragoto,Noragami Aragoto,Fall 2015,Kyouran Hey Kids!!,THE ORAL CIGARETTES,82,"90,096",,,,,Action; Adventure; Comedy; Supernatural,Gods; Mythology; Female Protagonist; Shounen; Urban Fantasy; Youkai; Urban; Found Family; Male Protagonist
Overlord - Clattanoia by OxT,easy,easy,Overlord,Overlord,Summer 2015,Clattanoia,OxT,82,"88,992",,,,,Action; Adventure; Fantasy,Isekai; Anti-Hero; Skeleton; Virtual World; Magic; Male Protagonist
Panty  Stocking with Garterbelt - Theme for Panty  Stocking by Hoshina Anniversary,easy,easy,Panty & Stocking with Garterbelt,Panty & Stocking with Garterbelt,Fall 2010,Theme for Panty & Stocking,Hoshina Anniversary,82,"30,024",,,,,Action; Comedy; Ecchi; Supernatural,Parody; Female Protagonist; Satire; Episodic; Anti-Hero; Angels; Mixed Media; Guns; Psychosexual; Gods; Ghost; Swordplay; Henshin; Surreal Comedy
Bishoujo Senshi Sailor Moon - Sailor Moon Theme by Nicole Price and Brynne Price,easy,easy,Bishoujo Senshi Sailor Moon,Sailor Moon,Winter 1992,Sailor Moon Theme,Nicole Price & Brynne Price,81,"82,032",,,,,Action; Adventure; Fantasy; Mahou Shoujo; Romance,Magic; Shoujo; Female Protagonist; Henshin; Primarily Female Cast; Urban Fantasy; Superhero; Slapstick; Super Power
Blend-S - Bon Appétit♡S by Blend・A,easy,easy,Blend-S,Blend-S,Fall 2017,Bon Appétit♡S,Blend・A,81,"89,544",,,,,Comedy; Slice of Life,Work; Cute Girls Doing Cute Things; Primarily Female Cast; Female Protagonist; Restaurant; Sadism
Darling in the FranXX - KISS OF DEATH (Produced by HYDE) by Mika Nakashima,easy,easy,Darling in the FranXX,Darling in the FranXX,Winter 2018,KISS OF DEATH (Produced by HYDE),Mika Nakashima,81,"89,067",,,,,Action; Drama; Mecha; Psychological; Romance; Sci-Fi,Orphan; Super Robot; Post-Apocalyptic; Dystopian; Coming of Age; Primarily Teen Cast; Tragedy; Robots; Heterosexual; Cohabitation; Femdom; Psychosexual; Found Family; Conspiracy; Lost Civilization; Kaiju; Monster Girl; Memory Manipulation
Dragon Ball Z - CHA-LA HEAD-CHA-LA by Hironobu Kageyama,easy,easy,Dragon Ball Z,Dragon Ball Z,Spring 1989,CHA-LA HEAD-CHA-LA,Hironobu Kageyama,81,"107,05",,,,,Action; Adventure; Comedy; Fantasy; Supernatural,Shounen; Super Power; Martial Arts; Henshin; Male Protagonist; Cultivation; Aliens; Primarily Male Cast; Space
Elfen Lied - LILIUM by Kumiko Noma,easy,easy,Elfen Lied,Elfen Lied,Summer 2004,LILIUM,Kumiko Noma,81,"90,044",,,,,Action; Drama; Ecchi; Horror; Psychological; Romance; Supernatural,Gore; Fugitive; Amnesia; Super Power; Monster Girl; Tragedy; Dissociative Identities; Seinen; Urban Fantasy; Philosophy; Female Protagonist; Nudity; Body Horror; Revenge
K-On! - Cagayake! GIRLS by Sakurakou K-On-bu,easy,easy,K-On!,K-On!,Spring 2009,Cagayake! GIRLS,Sakurakou K-On-bu,81,"89,04",,,,,Comedy; Music; Slice of Life,Cute Girls Doing Cute Things; School Club; Band; Primarily Female Cast; Female Protagonist; School; Primarily Teen Cast; Episodic
Log Horizon - database by MAN WITH A MISSION feat. TAKUMA (10-FEET),easy,easy,Log Horizon,Log Horizon,Fall 2013,database,MAN WITH A MISSION feat. TAKUMA (10-FEET),81,"90,024",,,,,Action; Adventure; Fantasy,Virtual World; Politics; Isekai; Video Games; Male Protagonist; Magic
One Piece - We Are! by Hiroshi Kitadani,easy,easy,One Piece,One Piece,Fall 1999,We Are!,Hiroshi Kitadani,81,"109,296",,,,,Action; Adventure; Comedy; Drama; Fantasy,Pirates; Travel; Ensemble Cast; Shounen; Super Power; Found Family; Male Protagonist; Conspiracy; Slapstick; Ships; Tragedy; Time Skip; Slavery; War; Politics
ReZero kara Hajimeru Isekai Seikatsu - Redo by Konomi Suzuki,easy,easy,Re:Zero kara Hajimeru Isekai Seikatsu,Re:Zero: Starting Life in Another World,Spring 2016,Redo,Konomi Suzuki,81,"89,04",,,,,Action; Adventure; Drama; Fantasy; Psychological; Romance; Thriller,Time Manipulation; Isekai; Time Loop; Tragedy; Alternate Universe; Male Protagonist; Witch; Magic
Spy × Family - Mixed Nuts by Official HIGE DANdism,easy,easy,Spy × Family,Spy × Family,Spring 2022,Mixed Nuts,Official HIGE DANdism,81,"88,032",,,,,Action; Comedy; Slice of Life; Supernatural,Family Life; Espionage; Found Family; Assassins; Shounen; Fake Relationship; Conspiracy; Adoption; Female Protagonist; Crime; Male Protagonist; Foreign; Slapstick; Urban; Parenthood; Super Power
"Toradora! - Pre-Parade by Rie Kugimiya, Yui Horie, Eri Kitamura",easy,easy,Toradora!,Toradora!,Fall 2008,Pre-Parade,"Rie Kugimiya, Yui Horie, Eri Kitamura",81,"89,544",,,,,Comedy; Drama; Romance; Slice of Life,Tsundere; Coming of Age; Love Triangle; Primarily Teen Cast; School; Heterosexual; Unrequited Love; Male Protagonist; Female Protagonist
Eromanga Sensei - Hitorigoto by ClariS,easy,easy,Eromanga Sensei,Eromanga Sensei,Spring 2017,Hitorigoto,ClariS,80,"89,544",,,,,Comedy; Drama; Ecchi; Romance; Slice of Life,Inseki; Primarily Child Cast; Writing; Drawing; Hikikomori; Tsundere; Otaku Culture; Heterosexual; Assassins; Nudity; Female Harem; Male Protagonist
JoJo no Kimyou na Bouken - BLOODY STREAM by Coda,easy,easy,JoJo no Kimyou na Bouken,JoJo's Bizarre Adventure,Fall 2012,BLOODY STREAM,Coda,80,"89,928",,,,,Action; Adventure; Drama; Horror; Supernatural,Shounen; Vampire; Super Power; Body Horror; Primarily Male Cast; Male Protagonist; Desert
JoJo no Kimyou na Bouken Stardust Crusaders - STAND PROUD by Jin Hashimoto,easy,easy,JoJo no Kimyou na Bouken: Stardust Crusaders,JoJo's Bizarre Adventure: Stardust Crusaders,Spring 2014,STAND PROUD,Jin Hashimoto,80,"88,704",,,,,Action; Adventure; Supernatural,Super Power; Foreign; Travel; Primarily Male Cast; Shounen; Male Protagonist; Urban Fantasy; Tragedy; Revenge
Jujutsu Kaisen - Kaikai Kitan by Eve,easy,easy,Jujutsu Kaisen,Jujutsu Kaisen,Fall 2020,Kaikai Kitan,Eve,80,"88,368",,,,,Action; Drama; Supernatural,Urban Fantasy; Shounen; Youkai; Super Power; Curses; Male Protagonist; Exorcism; Primarily Teen Cast; Dissociative Identities; Orphan; Demons; Urban
Mahou Shoujo Madoka★Magica - Connect by ClariS,easy,easy,Mahou Shoujo Madoka★Magica,Puella Magi Madoka Magica,Winter 2011,Connect,ClariS,80,"90,145",,,,,Action; Drama; Fantasy; Mahou Shoujo; Psychological; Thriller,Magic; Tragedy; Female Protagonist; Witch; Primarily Female Cast; Time Manipulation; Urban Fantasy; Philosophy; Alternate Universe; Time Loop; Kuudere; Primarily Teen Cast; Coming of Age; Henshin
Seishun Buta Yarou wa Bunny Girl Senpai no Yume o Minai - Kimi no Sei by the peggies,easy,easy,Seishun Buta Yarou wa Bunny Girl Senpai no Yume o Minai,Rascal Does Not Dream of Bunny Girl Senpai,Fall 2018,Kimi no Sei,the peggies,80,"88,824",,,,,Comedy; Drama; Mystery; Psychological; Romance; Supernatural,Urban Fantasy; Primarily Teen Cast; Heterosexual; Male Protagonist; Coming of Age; Primarily Female Cast; Memory Manipulation; Rehabilitation
Shingeki no Kyojin Season 3 - Red Swan by YOSHIKI feat. HYDE,easy,easy,Shingeki no Kyojin Season 3,Attack on Titan Season 3,Summer 2018,Red Swan,YOSHIKI feat. HYDE,80,"89,544",,,,,Action; Drama; Fantasy; Mystery,Conspiracy; Military; Tragedy; Shapeshifting; Politics; Memory Manipulation; Dystopian; Male Protagonist; Fugitive; Revenge; Henshin
Shingeki no Kyojin The Final Season - Boku no Sensou by Shinsei Kamattechan,easy,easy,Shingeki no Kyojin: The Final Season,Attack on Titan Final Season,Fall 2020,Boku no Sensou,Shinsei Kamattechan,80,"89,28",,,,,Action; Drama; Fantasy; Mystery,War; Tragedy; Military; Kaiju; Revenge; Anti-Hero; Politics; Dystopian; Time Skip; Ensemble Cast; Survival; Shapeshifting; Male Protagonist; Swordplay; Henshin; Coastal; Steampunk; Shounen; Primarily Male Cast; Super Power; Primarily Adult Cast; Terrorism; Conspiracy; Espionage
Violet Evergarden - Sincerely by TRUE,easy,easy,Violet Evergarden,Violet Evergarden,Winter 2018,Sincerely,TRUE,80,"88,152",,,,,Drama; Fantasy; Slice of Life,Rehabilitation; Writing; Tragedy; Female Protagonist; Coming of Age; Kuudere; Work; War
Yamada-kun to 7-nin no Majo - Kuchizuke Diamond by WEAVER,easy,easy,Yamada-kun to 7-nin no Majo,Yamada-kun and the Seven Witches,Spring 2015,Kuchizuke Diamond,WEAVER,80,"88,536",,,,,Comedy; Mystery; Romance; Supernatural,Witch; Body Swapping; School; School Club
Crayon Shin-chan - Yuruyuru de DE-O! by Akiko Yajima,easy,easy,Crayon Shin-chan,Shin Chan,Spring 1992,Yuruyuru de DE-O!,Akiko Yajima,79,"58,416",,,,,Comedy; Ecchi; Slice of Life,Episodic; Family Life; Kids; Male Protagonist
Domestic na Kanojo - Kawaki o Ameku by Minami,easy,easy,Domestic na Kanojo,Domestic Girlfriend,Winter 2019,Kawaki o Ameku,Minami,79,"89,544",,,,,Drama; Ecchi; Romance,Inseki; Love Triangle; Male Protagonist; Family Life; Teacher; Heterosexual; Cohabitation; Age Gap
Fatestay night Unlimited Blade Works - Brave Shine by Aimer,easy,easy,Fate/stay night: Unlimited Blade Works,Fate/stay night: Unlimited Blade Works,Spring 2015,Brave Shine,Aimer,79,"89,544",,,,,Action; Fantasy; Supernatural,Magic; Battle Royale; Death Game; Super Power; Urban Fantasy; Mythology; Spearplay; Swordplay
Kaguya-sama wa Kokurasetai Ultra Romantic - GIRI GIRI by Masayuki Suzuki feat. Suu,easy,easy,Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War - Ultra Romantic,Spring 2022,GIRI GIRI,Masayuki Suzuki feat. Suu,79,"88,536",,,,,Comedy; Psychological; Romance; Slice of Life,School; Heterosexual; School Club; Primarily Teen Cast; Ensemble Cast; Slapstick; Coming of Age; Female Protagonist; Tsundere; Male Protagonist; Meta
