FileName,difficulty,diff,JPName,ENName,Vintage,SongName,Artist,Difficulty,Length,easy,med,hard,very hard,Genres,Tags
From Bureaucrat to Villainess Dad's Been Reincarnated! - Choose!!! by Cidergirl [amq-79106].webm,easy,easy,Akuyaku Reijou Tensei Ojisan,From Bureaucrat to Villainess: Dad's Been Reincarnated!,Winter 2025,Choose!!!,Cidergirl,28,"89,895",,,,,,
"Anyway, I'm Falling in Love with You - Make It Count by INI [amq-79112].webm",easy,easy,"Douse, Koishite Shimaunda.","Anyway, I'm Falling in Love with You",Winter 2025,Make It Count,INI,26,"89,395",,,,,,
Honey Lemon Soda - Magic Hour by &TEAM [amq-79100].webm,medium,medium,Honey Lemon Soda,Honey Lemon Soda,Winter 2025,Magic Hour,&TEAM,45,"87,719",,,,,,
Flower and Asura - Jibun Kakumei by SHISHAMO [amq-79091].webm,easy,easy,"Hana wa Saku, Shura no Gotoku",Flower and Asura,Winter 2025,Jibun Kakumei,SHISHAMO,34,"87,936",,,,,,
Unnamed Memory - Unsung ballad by TRUE [amq-79093].webm,easy,easy,Unnamed Memory,Unnamed Memory,Winter 2025,Unsung ballad,TRUE,27,"88,936",,,,,,
"Even Given the Worthless Appraiser Class, I'm Actually the Strongest - Crescendo by ASTERISM [amq-79110].webm",easy,easy,"Fuguushoku ""Kanteishi"" ga Jitsu wa Saikyou Datta","Even Given the Worthless ""Appraiser"" Class, I'm Actually the Strongest",Winter 2025,Crescendo,ASTERISM,23,"88,811",,,,,,
Magic Maker How to Make Magic in Another World - Kirameki by XIIX [amq-79096].webm,easy,easy,Magic Maker: Isekai Mahou no Tsukurikata,Magic Maker: How to Make Magic in Another World,Winter 2025,Kirameki,XIIX,27,"89,015",,,,,,
Witchy Precure!! Mirai Days - Dokkin♢Mahoutsukai Precure!! Part3~MIRAI DAYS~ by Rie Kitagawa [amq-79141].webm,easy,easy,Mahoutsukai Precure!!: Mirai Days,Witchy Precure!!: Mirai Days,Winter 2025,Dokkin♢Mahoutsukai Precure!! Part3~MIRAI DAYS~,Rie Kitagawa,36,"89,179",,,,,,
Medalist - BOW AND ARROW by Kenshi Yonezu [amq-79134].webm,hard,hard,Medalist,Medalist,Winter 2025,BOW AND ARROW,Kenshi Yonezu,64,"87,677",,,,,,
"I May Be a Guild Receptionist, but I'll Solo Any Boss to Clock Out on Time - Perfect Day by 310 [amq-79123].webm",medium,medium,"Guild no Uketsuke Jou desu ga, Zangyou wa Iya nanode Boss o Solo Toubatsu Shiyou to Omoimasu","I May Be a Guild Receptionist, but I'll Solo Any Boss to Clock Out on Time",Winter 2025,Perfect Day,310,43,"87,015",,,,,,
UniteUp! Uni Birth - Uni Birth by UniteUp! [amq-79171].webm,easy,easy,UniteUp!: Uni:Birth,UniteUp!: Uni:Birth,Winter 2025,Uni:Birth,UniteUp!,29,"89,104",,,,,,
Toilet-Bound Hanako-kun Season 2 - L'oN by Masayoshi Oishi [amq-79150].webm,easy,easy,Jibaku Shounen Hanako-kun 2,Toilet-Bound Hanako-kun Season 2,Winter 2025,L'oN,Masayoshi Oishi,37,"89,304",,,,,,
"Welcome to Japan, Ms. Elf! - Palette Days by Rico Sasaki [amq-79121].webm",easy,easy,Nihon e Youkoso Elf-san.,"Welcome to Japan, Ms. Elf!",Winter 2025,Palette Days,Rico Sasaki,30,"88,353",,,,,,
Mashin Creator Wataru - POP UP! by lol [amq-79148].webm,easy,easy,Mashin Souzouden Wataru,Mashin Creator Wataru,Winter 2025,POP UP!,lol,21,"87,975",,,,,,
Mashin Creator Wataru - Sou by SANTA [amq-79528].webm,easy,easy,Mashin Souzouden Wataru,Mashin Creator Wataru,Winter 2025,Sou,SANTA,22,"88,762",,,,,,
I'm Living with an Otaku NEET Kunoichi! - Neet In Jam🍓 by REAL AKIBA BOYZ loves Shoko Nakagawa [amq-79137].webm,easy,easy,NEET Kunoichi to Nazeka Dousei Hajimemashita,I'm Living with an Otaku NEET Kunoichi!?,Winter 2025,Neet In Jam🍓,REAL AKIBA BOYZ loves Shoko Nakagawa,34,"58,907",,,,,,
Ubel Blatt - Zainin by GARNiDELiA [amq-79127].webm,easy,easy,Übel Blatt,Übel Blatt,Winter 2025,Zainin,GARNiDELiA,33,"89,262",,,,,,
Baban Baban Ban Vampire - Bloody Liar by BLUE ENCOUNT [amq-79138].webm,easy,easy,Baban Baban Ban Vampire,Baban Baban Ban Vampire,Winter 2025,Bloody Liar,BLUE ENCOUNT,25,"88,777",,,,,,
The Apothecary Diaries - Hyakka Ryouran by Lilas Ikuta [amq-79119].webm,hard,hard,Kusuriya no Hitorigoto,The Apothecary Diaries,Winter 2025,Hyakka Ryouran,Lilas Ikuta,60,"89,519",,,,,,
The Apothecary Diaries - Kusushiki by Mrs. GREEN APPLE [amq-79486].webm,medium,medium,Kusuriya no Hitorigoto,The Apothecary Diaries,Winter 2025,Kusushiki,Mrs. GREEN APPLE,53,"89,435",,,,,,
Sakamoto Days - Hashire SAKAMOTO by Vaundy [amq-79139].webm,medium,medium,Sakamoto Days,Sakamoto Days,Winter 2025,Hashire SAKAMOTO,Vaundy,51,"89,604",,,,,,
