Year,Season,Rank,Title,English Title,Romaji Title,Wymagane,Ile jest,Brakuje,Kolumna1,,,,
2025,WINTER,1,Solo Leveling Season 2 -Arise from the Shadow-,Solo Leveling Season 2 -Arise from the Shadow-,Ore dake Level Up na Ken: Season 2 - Arise from the Shadow,7,6,1,,,,,
2025,WINTER,2,SAKAMOTO DAYS,SAKAMOTO DAYS,SAKAMOTO DAYS,7,6,1,,,,,
2025,WINTER,3,The Apothecary Diaries Season 2,The Apothecary Diaries Season 2,Kusuriya no Hitorigoto 2nd Season,7,6,1,,,,,
2025,WINTER,4,Dr. STONE SCIENCE FUTURE,Dr. STONE SCIENCE FUTURE,Dr. STONE: SCIENCE FUTURE,7,5,2,,,,,
2025,WINTER,5,ZENSHU,ZENSHU,Zenshuu.,7,6,1,,,,,
2025,WINTER,6,"The 100 Girlfriends Who Really, Really, Really, Really, REALLY Love You Season 2","The 100 Girlfriends Who Really, Really, Really, Really, REALLY Love You Season 2",Kimi no Koto ga Dai Dai Dai Dai Daisuki na 100-nin no Kanojo 2nd Season,5,7,-2,,,,,
2025,WINTER,7,I'm Getting Married to a Girl I Hate in My Class,I'm Getting Married to a Girl I Hate in My Class,Class no Daikirai na Joshi to Kekkon Suru Koto ni Natta.,5,5,0,,,,,
2025,WINTER,8,"I May Be a Guild Receptionist, but I’ll Solo Any Boss to Clock Out on Time","I May Be a Guild Receptionist, but I’ll Solo Any Boss to Clock Out on Time","Guild no Uketsukejou desu ga, Zangyou wa Iya nanode Boss wo Solo Toubatsu Shiyou to Omoimasu",5,5,0,,,,,
2025,WINTER,9,Honey Lemon Soda,Honey Lemon Soda,Honey Lemon Soda,5,5,0,,,,,
2025,WINTER,10,My Happy Marriage Season 2,My Happy Marriage Season 2,Watashi no Shiawase na Kekkon 2nd Season,5,4,1,,,,,
2025,WINTER,11,I Have a Crush at Work,I Have a Crush at Work,Kono Kaisha ni Suki na Hito ga Imasu,3,3,0,,,,,
2025,WINTER,12,Possibly the Greatest Alchemist of All Time,Possibly the Greatest Alchemist of All Time,Izure Saikyou no Renkinjutsushi?,3,3,0,,,,,
2025,WINTER,13,"Even Given the Worthless “Appraiser” Class, I’m Actually the Strongest","Even Given the Worthless “Appraiser” Class, I’m Actually the Strongest",Fuguushoku [Kanteishi] ga Jitsu wa Saikyou Datta: Naraku de Kitaeta Saikyou no [Shingan] de Musou Suru,3,3,0,,,,,
2025,WINTER,14,Medaka Kuroiwa is Impervious to My Charms,Medaka Kuroiwa is Impervious to My Charms,Kuroiwa Medaka ni Watashi no Kawaii ga Tsuujinai,3,3,0,,,,,
2025,WINTER,15,I Left My A-Rank Party to Help My Former Students Reach the Dungeon Depths!,I Left My A-Rank Party to Help My Former Students Reach the Dungeon Depths!,"A-Rank Party wo Ridatsu Shita Ore wa, Moto Oshiegotachi to Meikyuu Shinbu wo Mezasu.",3,3,0,,,,,
2025,WINTER,16,Headhunted to Another World From Salaryman to Big Four!,Headhunted to Another World: From Salaryman to Big Four!,Salaryman ga Isekai ni Ittara Shitennou ni Natta Hanashi,3,3,0,,,,,
2025,WINTER,17,Ameku M.D. Doctor Detective,Ameku M.D.: Doctor Detective,Ameku Takao no Suiri Karte,3,3,0,,,,,
2025,WINTER,18,Bogus Skill Fruitmaster ~About that time I became able to eat unlimited numbers of Skill Fruits (that kill you)~,Bogus Skill <<Fruitmaster>> ~About that time I became able to eat unlimited numbers of Skill Fruits (that kill you)~,Hazure Skill «Kinomi Master»: Skill no Mi (Tabetara Shinu) wo Mugen ni Taberareru You ni Natta Ken Nitsuite,3,3,0,,,,,
2025,WINTER,19,The Daily Life of a Middle-Aged Online Shopper in Another World,"Welcome to Japan, Ms. Elf!",Nihon e Youkoso Elf-san.,3,3,0,,,,,
2025,WINTER,20,"Welcome to Japan, Ms. Elf!",The Daily Life of a Middle-Aged Online Shopper in Another World,Arafou Otoko no Isekai Tsuuhan Seikatsu,3,3,0,,,,,
2024,FALL,1,DAN DA DAN,DAN DA DAN,Dandadan,7,7,0,,,,,
2024,FALL,2,ReZERO -Starting Life in Another World- Season 3,Re:ZERO -Starting Life in Another World- Season 3,Re:Zero kara Hajimeru Isekai Seikatsu 3rd Season,7,6,1,,,,,
2024,FALL,3,BLUE LOCK Season 2,BLUE LOCK Season 2,Blue Lock VS. U-20 JAPAN,7,7,0,,,,,
2024,FALL,4,Blue Box,Blue Box,Ao no Hako,7,7,0,,,,,
2024,FALL,5,Orb On the Movements of the Earth,Orb: On the Movements of the Earth,Chi. Chikyuu no Undou ni Tsuite,7,7,0,,,,,
2024,FALL,6,BLEACH Thousand-Year Blood War - The Conflict,BLEACH: Thousand-Year Blood War - The Conflict,BLEACH: Sennen Kessen-hen - Soukoku-tan,5,3,2,,,,,
2024,FALL,7,Shangri-La Frontier Season 2,Shangri-La Frontier Season 2,Shangri-La Frontier 2nd Season,5,5,0,,,,,
2024,FALL,8,Uzumaki,Uzumaki,Uzumaki,5,2,3,,,,,
